,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
11262,tm39771,Resident Evil: Retribution,MOVIE,R,95,2012,0.0,5.3,140013.0
11307,tm34969,Gone,MOVIE,PG-13,94,2012,0.0,5.9,43957.0
11325,tm173814,Mr. Popper's Penguins,MOVIE,PG,94,2011,0.0,6.0,95151.0
11336,tm57032,Take This Waltz,MOVIE,R,116,2011,0.0,6.5,28414.0
11370,tm35437,The Collection,MOVIE,R,82,2012,0.0,6.1,49159.0
11417,tm166385,Zookeeper,MOVIE,PG,102,2011,0.0,5.2,60815.0
11443,tm41891,Premium Rush,MOVIE,PG-13,91,2012,0.0,6.5,113193.0
11486,ts35428,The Secret of Crickley Hall,SHOW,TV-14,58,2012,1.0,6.8,3028.0
11561,tm65465,Sightseers,MOVIE,,88,2012,0.0,6.5,28363.0
11594,tm177129,Dirty Movie,MOVIE,R,91,2011,0.0,3.1,3327.0
11605,ts18066,Blood-C,SHOW,TV-MA,24,2011,1.0,6.2,1538.0
11631,ts35525,Kamisama Kiss,SHOW,TV-PG,24,2012,2.0,8.1,3717.0
11744,tm29378,The Three Stooges,MOVIE,PG,92,2012,0.0,5.1,31522.0
11785,tm70754,People Like Us,MOVIE,PG-13,114,2012,0.0,7.0,42922.0
11805,tm182861,Glee: The Concert Movie,MOVIE,PG,84,2011,0.0,5.5,5829.0
11854,tm174683,Arthur Christmas,MOVIE,PG,97,2011,0.0,7.1,58296.0
11862,ts27027,Jormungand,SHOW,TV-MA,24,2012,2.0,7.5,1190.0
11901,tm39313,A Perfect Ending,MOVIE,,110,2012,0.0,5.7,4308.0
11922,tm31689,The Angels' Share,MOVIE,R,101,2012,0.0,7.0,25302.0
11973,ts33646,Infinite Stratos,SHOW,TV-14,26,2011,2.0,6.6,1841.0
11998,ts11600,The Fades,SHOW,TV-14,59,2011,1.0,7.6,6617.0
12007,ts33824,Maken-Ki! Battling Venus,SHOW,TV-MA,25,2011,2.0,5.9,433.0
12018,ts27837,"Say ""I Love You.""",SHOW,TV-14,25,2012,1.0,5.6,10.0
12057,ts16683,Haganai: I Don't Have Many Friends,SHOW,TV-MA,25,2011,2.0,7.1,2235.0
12072,tm30543,Wrong,MOVIE,,94,2012,0.0,6.2,9811.0
12086,tm60339,Nature Calls,MOVIE,R,79,2012,0.0,3.9,2421.0
12092,tm42551,Knuckleball!,MOVIE,,93,2012,0.0,7.0,1722.0
12122,tm55164,Pietà,MOVIE,,104,2012,0.0,7.1,14510.0
12131,ts21213,Yu-Gi-Oh! Zexal,SHOW,TV-Y7,22,2011,6.0,5.0,900.0
12153,tm67265,Sparkle,MOVIE,PG-13,116,2012,0.0,5.8,6304.0
12166,tm163083,Bullhead,MOVIE,R,129,2011,0.0,7.3,23216.0
12182,tm60803,The FP,MOVIE,R,82,2011,0.0,5.4,1738.0
12217,ts27922,NARUTO Spin-Off: Rock Lee & His Ninja Pals,SHOW,TV-Y7,23,2012,1.0,7.2,887.0
12228,tm42882,The Final Member,MOVIE,,90,2012,0.0,6.5,1245.0
12239,tm174447,Saving Private Perez,MOVIE,PG-13,105,2011,0.0,5.9,1915.0
12250,tm179641,Gimme the Loot,MOVIE,,79,2012,0.0,6.6,2533.0
12262,tm52062,Mosquita y Mari,MOVIE,,85,2012,0.0,6.3,918.0
12292,tm174230,Trevor Noah: You Laugh But It's True,MOVIE,,84,2011,0.0,7.1,1152.0
12305,tm183176,A Second Chance,MOVIE,,90,2011,0.0,4.7,1018.0
12306,tm31333,The Waiting Room,MOVIE,,81,2012,0.0,7.2,841.0
